CharacteristicName,ResultMeasureValue,ResultMeasure/MeasureUnitCode,ActivityStartDate,MonitoringLocationIdentifier,OrganizationFormalName,ResultStatusIdentifier
Manganese,0.001,mg/L,2020-07-20,MTVOLWQM_WQX-ELKMM_EK30,Montana Volunteer Water Quality Monitoring,Final
Manganese,0.255,mg/L,2020-08-18,MONT_PPL_WQX-1182M-CCR,Montana PPL Corporation,Final
Manganese,0.017,mg/L,2020-05-07,21SC60WQ_WQX-MD-145,South Carolina Department of Environmental Services,Final
Manganese,0.122,mg/L,2020-11-09,ARDEQH2O_WQX-UWTNO01,Arkansas Department of Environmental Quality,Final
Manganese,0.05,mg/L,2020-10-13,ARDEQH2O_WQX-OUA0241,Arkansas Department of Environmental Quality,Final
Manganese,0.018,mg/L,2020-04-29,21SC60WQ_WQX-MD-174,South Carolina Department of Environmental Services,Final
Manganese,0.014,mg/L,2020-03-12,MONT_PPL_WQX-369D,Montana PPL Corporation,Final
Manganese,0.142,mg/L,2020-10-01,MONT_PPL_WQX-1301D-IW,Montana PPL Corporation,Final
Manganese,0.0815,mg/L,2020-06-02,ARDEQH2O_WQX-RED0009,Arkansas Department of Environmental Quality,Final
Manganese,1.28,mg/L,2020-11-19,MONT_PPL_WQX-119A,Montana PPL Corporation,Final
Manganese,0.0092,mg/L,2020-08-27,21FLORAN_WQX-XLKEHS62,Orange County Environmental (Florida),Final
Manganese,0.011,mg/L,2020-04-15,MIDNITE_2-BC-OY,Midnite Mine Environmental Data,Final
Manganese,0.0235,mg/L,2020-06-18,EVR-RG_GC,EVR Operations Limited,Final
Manganese,0.074,mg/L,2020-05-07,21SC60WQ_WQX-SV-354,South Carolina Department of Environmental Services,Final
Manganese,0.0231,mg/L,2020-08-04,ARDEQH2O_WQX-OUA0235,Arkansas Department of Environmental Quality,Final
Manganese,0.002,mg/L,2020-10-29,MONT_PPL_WQX-624D,Montana PPL Corporation,Final
Manganese,0.24,mg/L,2020-03-02,MONT_PPL_WQX-63S,Montana PPL Corporation,Final
Manganese,2.11,mg/L,2020-08-04,ARDEQH2O_WQX-ARK0214,Arkansas Department of Environmental Quality,Final
Manganese,0.0107,mg/L,2020-04-15,EVR-RG_DSELK,EVR Operations Limited,Final
Manganese,0.0535,mg/L,2020-12-01,ARDEQH2O_WQX-OUA0227,Arkansas Department of Environmental Quality,Final
Manganese,0.021,mg/L,2020-08-20,MTNWE-MM-10,Montana NorthWestern Energy,Final
