CharacteristicName,ResultMeasureValue,ResultMeasure/MeasureUnitCode,ActivityStartDate,MonitoringLocationIdentifier,OrganizationFormalName,ResultStatusIdentifier
Copper,0.00261,mg/L,2021-10-25,MIDNITE_2-MWSW-01,Midnite Mine Environmental Data,Final
Copper,0.00068,mg/L,2021-07-21,WVDEP_WQX-7965,West Virginia Department of Environmental Protection-Division of Water & Waste Management-Watershed Assessment Branch,Accepted
Copper,0.0318,mg/L,2021-05-11,SOUTHUTE-SUIT43,Southern Ute Tribe,Final
Copper,0.002,mg/L,2021-07-19,MTWTRSHD_WQX-GF_WRF_DOWN,Montana Watershed,Final
Copper,0.00141,mg/L,2021-05-10,NEZPERCETRIBE_WQX-00709A,Nez Perce Tribe (Tribal),Final
Copper,0.053,mg/L,2021-02-11,KAWNATON_WQX-KN-KL-001,"Kaw Nation, Oklahoma (Tribal)",Final
Copper,0.00279999990016222,mg/L,2021-02-16,LUMMINSN_WQX-LUMMI0012,Lummi Tribe of the Lummi Reservation (Tribal),Final
Copper,0.106,mg/L,2021-09-02,UTEMTN-Cottonwood Wash Spring,Ute Mountain Utes Tribe (Colorado) (Tribal),Final
Copper,0.00093,mg/L,2021-02-24,WVDEP_WQX-6614,West Virginia Department of Environmental Protection-Division of Water & Waste Management-Watershed Assessment Branch,Accepted
Copper,0.0003,mg/L,2021-05-11,WVDEP_WQX-17435,West Virginia Department of Environmental Protection-Division of Water & Waste Management-Watershed Assessment Branch,Accepted
Copper,1.63,mg/L,2021-08-03,BPMWQX-1559-SS126,Bonita Peak Mining,Final
Copper,0.031,mg/L,2021-03-25,MDEQ_REM_WQX-SS-10A,Montana DEQ Remediation,Final
Copper,0.046,mg/L,2021-03-11,KAWNATON_WQX-KN-KL-005,"Kaw Nation, Oklahoma (Tribal)",Final
Copper,0.0046,mg/L,2021-05-07,AZDEQ_SW-61706,AZDEQ_SW,Final
Copper,0.0008,mg/L,2021-07-12,MDEQ_WQ_WQX-Y03YELSR26,Montana DEQ WQPB,Final
Copper,0.002,mg/L,2021-09-15,MDEQ_WQ_WQX-M12MISSR15,Montana DEQ WQPB,Final
Copper,0.0059,mg/L,2021-05-11,SOUTHUTE-SUIT45,Southern Ute Tribe,Final
Copper,0.001,mg/L,2021-06-23,MDEQ_WQ_WQX-M12MISSR15,Montana DEQ WQPB,Final
Copper,0.0009,mg/L,2021-09-23,MDEQ_WQ_WQX-Y12YELSR04,Montana DEQ WQPB,Final
Copper,0.0014,mg/L,2021-03-12,MNPCA-WT00038,Minnesota Pollution Control Agency - Ambient Surface Water,Final
Copper,0.0004,mg/L,2021-07-21,WVDEP_WQX-17832,West Virginia Department of Environmental Protection-Division of Water & Waste Management-Watershed Assessment Branch,Accepted
Copper,1.03,mg/L,2021-05-24,IOWATROK_WQX-DG2,Iowa Tribe of Oklahoma (Tribal),Final
Copper,0.0031,mg/L,2021-03-23,MIDNITE_2-SW-4U,Midnite Mine Environmental Data,Final
Copper,0.006,mg/L,2021-06-03,MDEQ_WQ_WQX-M09LUMPG05,Montana DEQ WQPB,Final
Copper,0.00078,mg/L,2021-10-05,WVDEP_WQX-6616,West Virginia Department of Environmental Protection-Division of Water & Waste Management-Watershed Assessment Branch,Accepted
Copper,0.0048,mg/L,2021-09-08,BPMWQX-1908-AM1,Bonita Peak Mining,Final
Copper,0.0015,mg/L,2021-02-17,WVDEP_WQX-8570,West Virginia Department of Environmental Protection-Division of Water & Waste Management-Watershed Assessment Branch,Accepted
Copper,0.0018,mg/L,2021-09-30,MIDNITE_2-SW-2,Midnite Mine Environmental Data,Final
Copper,0.0262,mg/L,2021-08-24,BPMWQX-793-CC43C,Bonita Peak Mining,Final
Copper,0.008,mg/L,2021-06-09,MDEQ_REM_WQX-SS-19,Montana DEQ Remediation,Final
Copper,0.003,mg/L,2021-09-09,MDEQ_REM_WQX-CFR-07D,Montana DEQ Remediation,Final
Copper,0.0017,mg/L,2021-06-23,USACOEND-LAU20004,"U.S. Army Corps of Engineers, Nashville District",Final
Copper,0.021,mg/L,2021-12-29,AZDEQ_SW-61706,AZDEQ_SW,Final
Copper,8.65,mg/L,2021-03-29,ERWC-BTS-1,Eagle River Watershed Council (ERWC) (Volunteer),Final
Copper,0.00044,mg/L,2021-07-06,WVDEP_WQX-2359,West Virginia Department of Environmental Protection-Division of Water & Waste Management-Watershed Assessment Branch,Accepted
Copper,0.00038,mg/L,2021-11-30,WVDEP_WQX-6631,West Virginia Department of Environmental Protection-Division of Water & Waste Management-Watershed Assessment Branch,Accepted
Copper,0.04,mg/L,2021-02-09,PYRAMIDLAKE-TRMWB,"Pyramid Lake Paiute Tribe of the Pyramid Lake Reservation, Nevada (Tribal)",Final
Copper,0.006,mg/L,2021-12-01,MDEQ_REM_WQX-SS-16B,Montana DEQ Remediation,Final
Copper,0.00064,mg/L,2021-04-19,WVDEP_WQX-5987,West Virginia Department of Environmental Protection-Division of Water & Waste Management-Watershed Assessment Branch,Accepted
Copper,0.004,mg/L,2021-06-08,MDEQ_REM_WQX-FC-CFR,Montana DEQ Remediation,Final
Copper,0.00233,mg/L,2021-07-12,NEZPERCETRIBE_WQX-00709A,Nez Perce Tribe (Tribal),Final
Copper,0.00055,mg/L,2021-05-18,WVDEP_WQX-17860,West Virginia Department of Environmental Protection-Division of Water & Waste Management-Watershed Assessment Branch,Accepted
Copper,0.001,mg/L,2021-07-27,MDEQ_WQ_WQX-M09LHLNO01,Montana DEQ WQPB,Final
Copper,0.00032,mg/L,2021-07-13,WVDEP_WQX-8746,West Virginia Department of Environmental Protection-Division of Water & Waste Management-Watershed Assessment Branch,Accepted
Copper,0.0016,mg/L,2021-03-24,WVDEP_WQX-6609,West Virginia Department of Environmental Protection-Division of Water & Waste Management-Watershed Assessment Branch,Accepted
Copper,0.003,mg/L,2021-06-09,MDEQ_REM_WQX-SS-07,Montana DEQ Remediation,Final
Copper,0.0003,mg/L,2021-10-13,MDEQ_WQ_WQX-Y06YELSR20,Montana DEQ WQPB,Final
Copper,0.0,mg/L,2021-10-12,FRESHWATER_INSTITUTE-Sacharuna Springs- Mountain,Megan Murray (Volunteer),Final
Copper,0.0013,mg/L,2021-05-06,UTAHDWQ_WQX-5937650,Utah Department Of Environmental Quality,Accepted
Copper,0.00069,mg/L,2021-02-02,WVDEP_WQX-6597,West Virginia Department of Environmental Protection-Division of Water & Waste Management-Watershed Assessment Branch,Accepted
Copper,0.00072,mg/L,2021-03-30,SRPMIC-SR-2,Salt River Pima-Maricopa Indian Community (SRPMIC) (Tribal),Accepted
Copper,0.015,mg/L,2021-06-09,MDEQ_REM_WQX-SS-14,Montana DEQ Remediation,Final
Copper,0.0017,mg/L,2021-01-05,MNPCA-SS00071,Minnesota Pollution Control Agency - Ambient Surface Water,Final
Copper,0.01,mg/L,2021-08-27,LOWERARKVALLEYWATERCONSDIST-Diamond A West South,Lower Arkansas Valley Water Conservation District,Final
Copper,0.002,mg/L,2021-08-31,MDEQ_REM_WQX-GW-ST-BG,Montana DEQ Remediation,Final
Copper,9.41,mg/L,2021-03-09,ERWC-BTS-1,Eagle River Watershed Council (ERWC) (Volunteer),Final
Copper,0.0166,mg/L,2021-08-26,BPMWQX-5617-A21C,Bonita Peak Mining,Final
Copper,0.011,mg/L,2021-06-09,MDEQ_REM_WQX-SS-14,Montana DEQ Remediation,Final
Copper,0.0003,mg/L,2021-10-18,MDEQ_WQ_WQX-M05GALLR02,Montana DEQ WQPB,Final
Copper,0.49,mg/L,2021-07-19,IOWATROK_WQX-BC1,Iowa Tribe of Oklahoma (Tribal),Final
Copper,1.61,mg/L,2021-05-24,IOWATROK_WQX-SND1,Iowa Tribe of Oklahoma (Tribal),Final
Copper,0.00042,mg/L,2021-01-20,WVDEP_WQX-5108,West Virginia Department of Environmental Protection-Division of Water & Waste Management-Watershed Assessment Branch,Accepted
Copper,0.021,mg/L,2021-03-25,MDEQ_REM_WQX-SS-16B,Montana DEQ Remediation,Final
Copper,0.000182,mg/L,2021-04-22,MIDNITE_2-MWNE-07,Midnite Mine Environmental Data,Final
Copper,0.003,mg/L,2021-07-12,MDEQ_WQ_WQX-Y06YELSR01,Montana DEQ WQPB,Final
Copper,0.00078,mg/L,2021-10-05,WVDEP_WQX-6624,West Virginia Department of Environmental Protection-Division of Water & Waste Management-Watershed Assessment Branch,Accepted
Copper,8.2e-05,mg/L,2021-10-26,MIDNITE_2-MWSW-02,Midnite Mine Environmental Data,Final
Copper,0.00031,mg/L,2021-04-14,WVDEP_WQX-6112,West Virginia Department of Environmental Protection-Division of Water & Waste Management-Watershed Assessment Branch,Accepted
Copper,0.018,mg/L,2021-04-06,WI_MMSD-RI-16,Milwaukee Metropolitan Sewerage District,Final
Copper,0.0044,mg/L,2021-06-10,SANDIAWQ_WQX-RRWWTP#2,Pueblo of Sandia Water Quality Program (New Mexico),Final
Copper,0.241,mg/L,2021-08-31,MDEQ_REM_WQX-GW-ST-WS,Montana DEQ Remediation,Final
Copper,0.00027,mg/L,2021-01-19,WVDEP_WQX-1983,West Virginia Department of Environmental Protection-Division of Water & Waste Management-Watershed Assessment Branch,Accepted
Copper,0.00119,mg/L,2021-09-28,MIDNITE_2-SW-4,Midnite Mine Environmental Data,Final
Copper,0.0005,mg/L,2021-10-20,MDEQ_WQ_WQX-M09MISSR23,Montana DEQ WQPB,Final
Copper,0.001,mg/L,2021-09-02,MDEQ_REM_WQX-MW-2B,Montana DEQ Remediation,Final
Copper,0.0005,mg/L,2021-04-20,WVDEP_WQX-6074,West Virginia Department of Environmental Protection-Division of Water & Waste Management-Watershed Assessment Branch,Accepted
Copper,0.003,mg/L,2021-05-20,MTNWE-MM-9,Montana NorthWestern Energy,Final
Copper,0.0157,mg/L,2021-04-26,ERWC-EDS-3,Eagle River Watershed Council (ERWC) (Volunteer),Final
Copper,0.007,mg/L,2021-11-30,MDEQ_REM_WQX-CFR-11F,Montana DEQ Remediation,Final
Copper,0.002,mg/L,2021-11-30,MDEQ_REM_WQX-CFR-07D,Montana DEQ Remediation,Final
Copper,0.0015,mg/L,2021-05-19,WVDEP_WQX-17880,West Virginia Department of Environmental Protection-Division of Water & Waste Management-Watershed Assessment Branch,Accepted
Copper,0.0004,mg/L,2021-07-26,MDEQ_WQ_WQX-M09MISSR26,Montana DEQ WQPB,Final
Copper,0.0004,mg/L,2021-06-22,MDEQ_WQ_WQX-M12MISSR97,Montana DEQ WQPB,Final
Copper,0.0005,mg/L,2021-07-29,USACOEND-BAR10001,"U.S. Army Corps of Engineers, Nashville District",Final
Copper,0.008,mg/L,2021-12-13,MTWTRSHD_WQX-GF_WRF_EFF,Montana Watershed,Final
Copper,0.0023,mg/L,2021-10-15,GLEC-UGBLR008.19,Great Lakes Environmental Center,Final
Copper,0.002,mg/L,2021-08-05,MTVOLWQM_WQX-ELKMM_EK30,Montana Volunteer Water Quality Monitoring,Final
Copper,0.00065,mg/L,2021-01-13,WVDEP_WQX-6273,West Virginia Department of Environmental Protection-Division of Water & Waste Management-Watershed Assessment Branch,Accepted
Copper,0.0044,mg/L,2021-08-10,UTEMTN-Cow Camp Spring,Ute Mountain Utes Tribe (Colorado) (Tribal),Final
Copper,9.5,mg/L,2021-03-03,ERWC-BTS-1,Eagle River Watershed Council (ERWC) (Volunteer),Final
Copper,0.00101,mg/L,2021-08-25,KNRD_WQX-PORB,Kalispel Indian Community of the Kalispel Reservation (Tribal),Final
Copper,0.0024,mg/L,2021-06-09,SANDIAWQ_WQX-RG013,Pueblo of Sandia Water Quality Program (New Mexico),Final
Copper,0.006,mg/L,2021-10-06,MTVOLWQM_WQX-ELKMM_GHC01,Montana Volunteer Water Quality Monitoring,Final
Copper,0.016,mg/L,2021-10-06,MTVOLWQM_WQX-ELKMM_AMDGW1,Montana Volunteer Water Quality Monitoring,Final
Copper,0.22,mg/L,2021-01-16,IOWATROK_WQX-HQ1,Iowa Tribe of Oklahoma (Tribal),Final
Copper,0.002,mg/L,2021-06-08,MDEQ_REM_WQX-WSC-SBC,Montana DEQ Remediation,Final
Copper,0.001,mg/L,2021-07-13,MDEQ_WQ_WQX-Y23YELLR06,Montana DEQ WQPB,Final
Copper,0.000105,mg/L,2021-04-14,MIDNITE_2-MWSW-02,Midnite Mine Environmental Data,Final
Copper,0.04,mg/L,2021-02-09,PYRAMIDLAKE-TRNPSTD01,"Pyramid Lake Paiute Tribe of the Pyramid Lake Reservation, Nevada (Tribal)",Final
Copper,0.0011,mg/L,2021-07-20,SANDIAWQ_WQX-RG001,Pueblo of Sandia Water Quality Program (New Mexico),Final
Copper,0.0014,mg/L,2021-05-19,WVDEP_WQX-10326,West Virginia Department of Environmental Protection-Division of Water & Waste Management-Watershed Assessment Branch,Accepted
Copper,0.00078,mg/L,2021-10-06,WVDEP_WQX-6605,West Virginia Department of Environmental Protection-Division of Water & Waste Management-Watershed Assessment Branch,Accepted
Copper,0.0197,mg/L,2021-08-03,BPMWQX-773-CC21C,Bonita Peak Mining,Final
Copper,0.087,mg/L,2021-03-26,AZDEQ_SW-1551,AZDEQ_SW,Final
Copper,0.0006,mg/L,2021-09-21,MSI-LIL D,Mountain Studies Institute (MSI),Final
Copper,0.00258,mg/L,2021-09-27,MIDNITE_2-BCMW-03,Midnite Mine Environmental Data,Final
Copper,0.0216,mg/L,2021-04-20,ERWC-T-10,Eagle River Watershed Council (ERWC) (Volunteer),Final
Copper,0.006,mg/L,2021-03-24,MDEQ_REM_WQX-CFR-03A,Montana DEQ Remediation,Final
Copper,0.014,mg/L,2021-12-01,MDEQ_REM_WQX-SS-14,Montana DEQ Remediation,Final
Copper,0.000188,mg/L,2021-09-30,MIDNITE_2-SW-2,Midnite Mine Environmental Data,Final
Copper,0.0027,mg/L,2021-03-30,ERWC-E-10,Eagle River Watershed Council (ERWC) (Volunteer),Final
Copper,0.0007,mg/L,2021-04-21,MSI-ESC,Mountain Studies Institute (MSI),Final
Copper,0.021,mg/L,2021-08-05,MTVOLWQM_WQX-ELKMM_SLG01,Montana Volunteer Water Quality Monitoring,Final
Copper,0.0018,mg/L,2021-03-23,ERWC-E- 3,Eagle River Watershed Council (ERWC) (Volunteer),Final
Copper,0.0005,mg/L,2021-06-24,MDEQ_WQ_WQX-M12MISSR38,Montana DEQ WQPB,Final
Copper,0.0006,mg/L,2021-03-30,SRPMIC-VR-2,Salt River Pima-Maricopa Indian Community (SRPMIC) (Tribal),Accepted
Copper,0.0003,mg/L,2021-03-15,WVDEP_WQX-8663,West Virginia Department of Environmental Protection-Division of Water & Waste Management-Watershed Assessment Branch,Accepted
Copper,0.01,mg/L,2021-03-25,MDEQ_REM_WQX-SS-15A-2,Montana DEQ Remediation,Final
Copper,0.011,mg/L,2021-05-20,MTWTRSHD_WQX-GF_WRF_UP,Montana Watershed,Final
Copper,0.00036,mg/L,2021-04-15,WVDEP_WQX-17866,West Virginia Department of Environmental Protection-Division of Water & Waste Management-Watershed Assessment Branch,Accepted
Copper,0.0003,mg/L,2021-06-14,MDEQ_WQ_WQX-Y06YELSR01,Montana DEQ WQPB,Final
Copper,0.006,mg/L,2021-10-06,MTVOLWQM_WQX-ELKMM_EK05,Montana Volunteer Water Quality Monitoring,Final
Copper,0.004,mg/L,2021-07-29,MDEQ_WQ_WQX-M13SUNR08,Montana DEQ WQPB,Final
Copper,0.0003,mg/L,2021-06-18,MDEQ_WQ_WQX-M05GALLR02,Montana DEQ WQPB,Final
Copper,0.0004,mg/L,2021-09-13,MSI-WF Dolores,Mountain Studies Institute (MSI),Final
Copper,0.0003,mg/L,2021-09-16,MDEQ_WQ_WQX-M12MISSR08,Montana DEQ WQPB,Final
Copper,0.017,mg/L,2021-11-17,AZDEQ_SW-494,AZDEQ_SW,Final
Copper,0.0011,mg/L,2021-07-16,WVDEP_WQX-8357,West Virginia Department of Environmental Protection-Division of Water & Waste Management-Watershed Assessment Branch,Accepted
Copper,0.00074,mg/L,2021-05-11,WVDEP_WQX-16153,West Virginia Department of Environmental Protection-Division of Water & Waste Management-Watershed Assessment Branch,Accepted
Copper,0.0011,mg/L,2021-08-10,WVDEP_WQX-6627,West Virginia Department of Environmental Protection-Division of Water & Waste Management-Watershed Assessment Branch,Accepted
Copper,0.36,mg/L,2021-07-16,IOWATROK_WQX-DG1,Iowa Tribe of Oklahoma (Tribal),Final
Copper,0.0003,mg/L,2021-09-30,MIDNITE_2-SW-6,Midnite Mine Environmental Data,Final
Copper,0.04,mg/L,2021-02-09,PYRAMIDLAKE-PLMPRB,"Pyramid Lake Paiute Tribe of the Pyramid Lake Reservation, Nevada (Tribal)",Final
Copper,0.0007,mg/L,2021-07-29,USACOEND-BAR10001,"U.S. Army Corps of Engineers, Nashville District",Final
Copper,0.001,mg/L,2021-09-09,MDEQ_REM_WQX-FC-CFR,Montana DEQ Remediation,Final
Copper,0.0012,mg/L,2021-12-10,AZDEQ_SW-1591,AZDEQ_SW,Final
Copper,0.006,mg/L,2021-09-10,MDEQ_REM_WQX-SS-19,Montana DEQ Remediation,Final
Copper,0.00062,mg/L,2021-05-26,WVDEP_WQX-4737,West Virginia Department of Environmental Protection-Division of Water & Waste Management-Watershed Assessment Branch,Accepted
Copper,0.0006,mg/L,2021-04-21,WVDEP_WQX-5678,West Virginia Department of Environmental Protection-Division of Water & Waste Management-Watershed Assessment Branch,Accepted
Copper,0.00067,mg/L,2021-03-29,WVDEP_WQX-6606,West Virginia Department of Environmental Protection-Division of Water & Waste Management-Watershed Assessment Branch,Accepted
Copper,0.71,mg/L,2021-03-05,IOWATROK_WQX-HQ2,Iowa Tribe of Oklahoma (Tribal),Final
Copper,0.000381,mg/L,2021-03-18,MIDNITE_2-WDAC,Midnite Mine Environmental Data,Final
Copper,0.0015,mg/L,2021-04-12,WVDEP_WQX-17877,West Virginia Department of Environmental Protection-Division of Water & Waste Management-Watershed Assessment Branch,Accepted
Copper,0.00062,mg/L,2021-03-23,WVDEP_WQX-6272,West Virginia Department of Environmental Protection-Division of Water & Waste Management-Watershed Assessment Branch,Accepted
Copper,0.00047,mg/L,2021-09-20,WVDEP_WQX-3301,West Virginia Department of Environmental Protection-Division of Water & Waste Management-Watershed Assessment Branch,Accepted
Copper,0.00048,mg/L,2021-03-30,WVDEP_WQX-6631,West Virginia Department of Environmental Protection-Division of Water & Waste Management-Watershed Assessment Branch,Accepted
Copper,0.002,mg/L,2021-05-19,MDEQ_REM_WQX-LYS-03,Montana DEQ Remediation,Final
Copper,3e-05,mg/L,2021-04-19,MIDNITE_2-GW-51,Midnite Mine Environmental Data,Final
Copper,0.00074,mg/L,2021-04-28,WVDEP_WQX-17864,West Virginia Department of Environmental Protection-Division of Water & Waste Management-Watershed Assessment Branch,Accepted
Copper,0.00096,mg/L,2021-03-09,ERWC-E- 3,Eagle River Watershed Council (ERWC) (Volunteer),Final
Copper,0.006,mg/L,2021-08-09,MT305B_SECONDARYDATA-SC-15C,Montana 303d/305b Call for Secondary Data,Final
Copper,0.0005,mg/L,2021-07-12,MDEQ_WQ_WQX-Y03YELSR26,Montana DEQ WQPB,Final
Copper,0.00068,mg/L,2021-02-22,WVDEP_WQX-6626,West Virginia Department of Environmental Protection-Division of Water & Waste Management-Watershed Assessment Branch,Accepted
Copper,0.049,mg/L,2021-02-11,KAWNATON_WQX-KN-LB1,"Kaw Nation, Oklahoma (Tribal)",Final
Copper,0.0012,mg/L,2021-06-03,WVDEP_WQX-6614,West Virginia Department of Environmental Protection-Division of Water & Waste Management-Watershed Assessment Branch,Accepted
Copper,1.12,mg/L,2021-05-24,IOWATROK_WQX-BR1,Iowa Tribe of Oklahoma (Tribal),Final
Copper,0.39,mg/L,2021-07-20,IOWATROK_WQX-BR2,Iowa Tribe of Oklahoma (Tribal),Final
Copper,0.0013,mg/L,2021-03-03,SOUTHUTE-FLR 1-2,Southern Ute Tribe,Final
Copper,0.00097,mg/L,2021-06-24,USACOEND-LAU10011,"U.S. Army Corps of Engineers, Nashville District",Final
Copper,0.0018,mg/L,2021-06-29,WVDEP_WQX-3055,West Virginia Department of Environmental Protection-Division of Water & Waste Management-Watershed Assessment Branch,Accepted
Copper,3.41,mg/L,2021-08-25,BPMWQX-1574-SS110,Bonita Peak Mining,Final
Copper,0.00083,mg/L,2021-08-02,WVDEP_WQX-6577,West Virginia Department of Environmental Protection-Division of Water & Waste Management-Watershed Assessment Branch,Accepted
Copper,1.3,mg/L,2021-08-03,BPMWQX-1559-SS126,Bonita Peak Mining,Final
Copper,0.00028,mg/L,2021-02-24,WVDEP_WQX-5120,West Virginia Department of Environmental Protection-Division of Water & Waste Management-Watershed Assessment Branch,Accepted
Copper,0.0007,mg/L,2021-06-23,USACOEND-LAU20002,"U.S. Army Corps of Engineers, Nashville District",Final
Copper,0.0011,mg/L,2021-06-15,USACOEND-BAR10040,"U.S. Army Corps of Engineers, Nashville District",Final
Copper,0.00026,mg/L,2021-03-17,WVDEP_WQX-16003,West Virginia Department of Environmental Protection-Division of Water & Waste Management-Watershed Assessment Branch,Accepted
Copper,0.0002,mg/L,2021-10-13,MDEQ_WQ_WQX-Y03YELSR26,Montana DEQ WQPB,Final
Copper,0.003,mg/L,2021-07-13,MDEQ_WQ_WQX-Y23YELLR06,Montana DEQ WQPB,Final
Copper,0.00230999989435077,mg/L,2021-02-08,LUMMINSN_WQX-LUMMI0647,Lummi Tribe of the Lummi Reservation (Tribal),Final
Copper,0.0058,mg/L,2021-03-22,ERWC-E-12A,Eagle River Watershed Council (ERWC) (Volunteer),Final
Copper,0.0013,mg/L,2021-06-08,SANDIAWQ_WQX-RG003,Pueblo of Sandia Water Quality Program (New Mexico),Final
Copper,0.028,mg/L,2021-01-21,KAWNATON_WQX-KN-LB1,"Kaw Nation, Oklahoma (Tribal)",Final
Copper,0.0008,mg/L,2021-10-07,MSI-Fall,Mountain Studies Institute (MSI),Final
Copper,0.00037,mg/L,2021-08-17,WVDEP_WQX-17968,West Virginia Department of Environmental Protection-Division of Water & Waste Management-Watershed Assessment Branch,Accepted
Copper,0.0025,mg/L,2021-06-03,SOUTHUTE-FLR 1-2,Southern Ute Tribe,Final
Copper,0.00052,mg/L,2021-10-12,WVDEP_WQX-7411,West Virginia Department of Environmental Protection-Division of Water & Waste Management-Watershed Assessment Branch,Accepted
Copper,0.00148,mg/L,2021-06-07,NEZPERCETRIBE_WQX-01401A,Nez Perce Tribe (Tribal),Final
Copper,0.0003,mg/L,2021-09-02,MDEQ_REM_WQX-MW-2C,Montana DEQ Remediation,Final
Copper,0.00435,mg/L,2021-04-07,MIDNITE_2-BCMW-03,Midnite Mine Environmental Data,Final
Copper,0.02,mg/L,2021-08-09,WI_MMSD-RI-01,Milwaukee Metropolitan Sewerage District,Final
Copper,0.00041,mg/L,2021-01-19,WVDEP_WQX-7540,West Virginia Department of Environmental Protection-Division of Water & Waste Management-Watershed Assessment Branch,Accepted
Copper,0.0011,mg/L,2021-09-09,WVDEP_WQX-5820,West Virginia Department of Environmental Protection-Division of Water & Waste Management-Watershed Assessment Branch,Accepted
Copper,6.8e-05,mg/L,2021-10-18,MIDNITE_2-MWNE-04,Midnite Mine Environmental Data,Final
Copper,0.028,mg/L,2021-04-08,MIDNITE_2-MWED-10,Midnite Mine Environmental Data,Final
Copper,0.0013,mg/L,2021-10-27,WVDEP_WQX-6272,West Virginia Department of Environmental Protection-Division of Water & Waste Management-Watershed Assessment Branch,Accepted
Copper,0.00061,mg/L,2021-10-05,WVDEP_WQX-6617,West Virginia Department of Environmental Protection-Division of Water & Waste Management-Watershed Assessment Branch,Accepted
Copper,0.01,mg/L,2021-02-02,LUMMINSN_WQX-LUMMI0001,Lummi Tribe of the Lummi Reservation (Tribal),Final
Copper,0.002,mg/L,2021-02-25,MTNWE-MM-10,Montana NorthWestern Energy,Final
Copper,0.0005,mg/L,2021-07-13,MDEQ_WQ_WQX-Y12YELSR04,Montana DEQ WQPB,Final
Copper,0.0022,mg/L,2021-12-07,AZDEQ_SW-1071,AZDEQ_SW,Final
Copper,0.001,mg/L,2021-09-09,UTAHDWQ_WQX-5937650,Utah Department Of Environmental Quality,Accepted
Copper,0.01,mg/L,2021-09-24,LOWERARKVALLEYWATERCONSDIST-Brase Irrigation Water,Lower Arkansas Valley Water Conservation District,Final
Copper,0.0,mg/L,2021-10-14,FRESHWATER_INSTITUTE-Sacharuna Springs- Cave,Megan Murray (Volunteer),Final
Copper,0.002,mg/L,2021-06-18,MDEQ_WQ_WQX-M09MISSR26,Montana DEQ WQPB,Final
Copper,0.00075,mg/L,2021-07-13,WVDEP_WQX-8755,West Virginia Department of Environmental Protection-Division of Water & Waste Management-Watershed Assessment Branch,Accepted
Copper,0.0019,mg/L,2021-10-13,GLEC-SCCIE022.42,Great Lakes Environmental Center,Final
Copper,0.003,mg/L,2021-07-08,GLIFWC-MN-02,Great Lakes Indian Fish and Wildlife Commission (Volunteer),Final
Copper,0.00056,mg/L,2021-05-13,WVDEP_WQX-5596,West Virginia Department of Environmental Protection-Division of Water & Waste Management-Watershed Assessment Branch,Accepted
Copper,0.006,mg/L,2021-05-19,MDEQ_REM_WQX-LYS-04R,Montana DEQ Remediation,Final
Copper,0.0018,mg/L,2021-10-19,GLEC-LCWCL-A,Great Lakes Environmental Center,Final
Copper,0.00106,mg/L,2021-09-14,NEZPERCETRIBE_WQX-03301A,Nez Perce Tribe (Tribal),Final
Copper,0.0128,mg/L,2021-04-05,ERWC-EDS-3,Eagle River Watershed Council (ERWC) (Volunteer),Final
Copper,0.0036,mg/L,2021-04-20,ERWC-E- 3,Eagle River Watershed Council (ERWC) (Volunteer),Final
Copper,0.05,mg/L,2021-04-23,IOWATROK_WQX-SND2,Iowa Tribe of Oklahoma (Tribal),Final
Copper,0.000235,mg/L,2021-10-25,MIDNITE_2-MWED-04,Midnite Mine Environmental Data,Final
Copper,1.07,mg/L,2021-08-26,BPMWQX-2147-SS219,Bonita Peak Mining,Final
Copper,0.021,mg/L,2021-04-06,WI_MMSD-RI-11,Milwaukee Metropolitan Sewerage District,Final
Copper,0.001,mg/L,2021-05-07,SANDIAWQ_WQX-BERNINT03,Pueblo of Sandia Water Quality Program (New Mexico),Final
Copper,0.0034,mg/L,2021-12-29,AZDEQ_SW-62182,AZDEQ_SW,Final
Copper,0.0041,mg/L,2021-11-17,AZDEQ_SW-267,AZDEQ_SW,Final
Copper,0.00389999989420176,mg/L,2021-11-02,LUMMINSN_WQX-LUMMI0173,Lummi Tribe of the Lummi Reservation (Tribal),Final
Copper,0.0005,mg/L,2021-04-13,MNPCA-WT00038,Minnesota Pollution Control Agency - Ambient Surface Water,Final
Copper,0.0015,mg/L,2021-03-16,SOUTHUTE-LPR 24-1,Southern Ute Tribe,Final
Copper,0.0208,mg/L,2021-03-15,MIDNITE_2-WDJ,Midnite Mine Environmental Data,Final
Copper,0.00056,mg/L,2021-05-03,WVDEP_WQX-15728,West Virginia Department of Environmental Protection-Division of Water & Waste Management-Watershed Assessment Branch,Accepted
Copper,0.004,mg/L,2021-03-03,MTWTRSHD_WQX-GF_WRF_UP,Montana Watershed,Final
Copper,0.0339,mg/L,2021-04-26,ERWC-RX- 3,Eagle River Watershed Council (ERWC) (Volunteer),Final
Copper,0.00045,mg/L,2021-10-06,WVDEP_WQX-6604,West Virginia Department of Environmental Protection-Division of Water & Waste Management-Watershed Assessment Branch,Accepted
Copper,0.0015,mg/L,2021-10-22,GLEC-BWFRA001.04,Great Lakes Environmental Center,Final
Copper,0.003,mg/L,2021-12-29,AZDEQ_SW-62182,AZDEQ_SW,Final
Copper,0.01,mg/L,2021-05-19,MDEQ_REM_WQX-LYS-05,Montana DEQ Remediation,Final
Copper,0.00063,mg/L,2021-01-12,WVDEP_WQX-8949,West Virginia Department of Environmental Protection-Division of Water & Waste Management-Watershed Assessment Branch,Accepted
